name,zone,lower,upper
uztwm_WGCM8-1,WGCM8-1,60.625,153.125
uzfwm_WGCM8-1,WGCM8-1,45,115
lztwm_WGCM8-1,WGCM8-1,87.5,282.5
lzfpm_WGCM8-1,WGCM8-1,145,635
lzfsm_WGCM8-1,WGCM8-1,60,205
adimp_WGCM8-1,WGCM8-1,0,0.2
uzk_WGCM8-1,WGCM8-1,0.1745,0.4245
lzpk_WGCM8-1,WGCM8-1,0.001,0.01255
lzsk_WGCM8-1,WGCM8-1,0.015125,0.089875
zperc_WGCM8-1,WGCM8-1,75.75,225.25
rexp_WGCM8-1,WGCM8-1,1.125,3.375
pctim_WGCM8-1,WGCM8-1,0,0.05
pfree_WGCM8-1,WGCM8-1,0.175,0.525
riva_WGCM8-1,WGCM8-1,0,0.2
scf_WGCM8-1,WGCM8-1,0.7,1.5
mfmax_WGCM8-1,WGCM8-1,0.75,1.25
mfmin_WGCM8-1,WGCM8-1,0.0975,0.3175
uadj_WGCM8-1,WGCM8-1,0.05,0.10475
si_WGCM8-1,WGCM8-1,1,5000
adc_a_WGCM8-1,WGCM8-1,0,0.25
adc_b_WGCM8-1,WGCM8-1,0.05,50
adc_c_WGCM8-1,WGCM8-1,0.5,50
unit_shape_WGCM8-1,WGCM8-1,1.01,3.3
unit_toc_adj_WGCM8-1,WGCM8-1,0.75,1.25
uztwm_WGCM8-2,WGCM8-2,60.625,153.125
uzfwm_WGCM8-2,WGCM8-2,45,115
lztwm_WGCM8-2,WGCM8-2,87.5,282.5
lzfpm_WGCM8-2,WGCM8-2,145,635
lzfsm_WGCM8-2,WGCM8-2,60,205
adimp_WGCM8-2,WGCM8-2,0,0.2
uzk_WGCM8-2,WGCM8-2,0.1745,0.4245
lzpk_WGCM8-2,WGCM8-2,0.001,0.01255
lzsk_WGCM8-2,WGCM8-2,0.015125,0.089875
zperc_WGCM8-2,WGCM8-2,75.75,225.25
rexp_WGCM8-2,WGCM8-2,1.125,3.375
pctim_WGCM8-2,WGCM8-2,0,0.05
pfree_WGCM8-2,WGCM8-2,0.175,0.525
riva_WGCM8-2,WGCM8-2,0,0.2
scf_WGCM8-2,WGCM8-2,0.7,1.5
mfmax_WGCM8-2,WGCM8-2,0.75,1.25
mfmin_WGCM8-2,WGCM8-2,0.0975,0.3175
uadj_WGCM8-2,WGCM8-2,0.05,0.10475
si_WGCM8-2,WGCM8-2,1,5000
adc_a_WGCM8-2,WGCM8-2,0,0.25
adc_b_WGCM8-2,WGCM8-2,0.05,50
adc_c_WGCM8-2,WGCM8-2,0.5,50
unit_shape_WGCM8-2,WGCM8-2,1.01,3.3
unit_toc_adj_WGCM8-2,WGCM8-2,0.75,1.25
map_scale_WGCM8,WGCM8,0.5,1.5
map_p_redist_WGCM8,WGCM8,0,0.5
map_std_WGCM8,WGCM8,0.1,20
map_shift_WGCM8,WGCM8,-15,15
mat_scale_WGCM8,WGCM8,0.5,1.5
mat_p_redist_WGCM8,WGCM8,0,0.5
mat_std_WGCM8,WGCM8,0.1,20
mat_shift_WGCM8,WGCM8,-15,15
pet_scale_WGCM8,WGCM8,0.5,1.5
pet_p_redist_WGCM8,WGCM8,0,0.5
pet_std_WGCM8,WGCM8,0.1,20
pet_shift_WGCM8,WGCM8,-15,15
ptps_scale_WGCM8,WGCM8,0.5,1.5
ptps_p_redist_WGCM8,WGCM8,0,0.5
ptps_std_WGCM8,WGCM8,0.1,20
ptps_shift_WGCM8,WGCM8,-15,15
